"Issue Type","Epic Name","Epic Link","Summary","Description","Priority","Story Points","Labels","Components","Sprint"
"Epic","EP01","","SECTION 1 — NestJS Foundations","# SECTION 1 — NestJS Foundations

Bootstrap NestJS app + request lifecycle + Zod validation pipeline + modular folder convention.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-1, nestjs, foundations`","High","","section-1;nestjs;foundations","backend","Sprint 1"
"Epic","EP02","","SECTION 2 — Auth + Roles","# SECTION 2 — Auth + Roles

Build signup/email-verify, login bcrypt, JWT access+refresh rotation, role-based guard cho 3 role (Admin/Tutor/Student).

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-2, auth, jwt`","High","","section-2;auth;jwt","backend","Sprint 1"
"Epic","EP03","","SECTION 3 — Users & Profiles","# SECTION 3 — Users & Profiles

Admin CRUD 3 role + Tutor profile/approval + Student profile + avatar upload via MinIO.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-3, users`","High","","section-3;users","backend","Sprint 2"
"Epic","EP04","","SECTION 4 — Taxonomy","# SECTION 4 — Taxonomy

Build Subjects/Levels/Qualifications CRUD + M2M assign cho Tutor.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-4, taxonomy`","High","","section-4;taxonomy","backend","Sprint 2"
"Epic","EP05","","SECTION 5 — Course Marketplace","# SECTION 5 — Course Marketplace

Build Tutor course CRUD + chapter/lesson nested + file upload (video/pptx/pdf) + public listing.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-5, course, marketplace`","High","","section-5;course;marketplace","backend","Sprint 3"
"Epic","EP06","","SECTION 6 — Course Approval Workflow","# SECTION 6 — Course Approval Workflow

Implement state machine draft → pending_approval → published | rejected → archived; Hanah approve/reject endpoints + audit log.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-6, course, approval`","High","","section-6;course;approval","backend","Sprint 3"
"Epic","EP07","","SECTION 7 — Enrollment & Lesson Progress","# SECTION 7 — Enrollment & Lesson Progress

Enrollment grant từ paid order; lesson progress tracking; course review.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-7, enrollment, progress`","High","","section-7;enrollment;progress","backend","Sprint 4"
"Epic","EP08","","SECTION 8 — Tutor Availability","# SECTION 8 — Tutor Availability

Tutor declare lịch rảnh; public endpoint query Tutor availability cho Student.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-8, availability`","High","","section-8;availability","backend","Sprint 4"
"Epic","EP09","","SECTION 9 — Session Booking","# SECTION 9 — Session Booking

Implement single + combo booking với RRULE; booking state machine; cancel; no-show detection stub.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-9, booking`","High","","section-9;booking","backend","Sprint 5"
"Epic","EP10","","SECTION 10 — Hanah Assign Flow","# SECTION 10 — Hanah Assign Flow

Build eligible-tutor SQL filter + Hanah assign endpoint + Tutor accept/decline + reassign.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-10, hanah, assign`","High","","section-10;hanah;assign","backend","Sprint 5"
"Epic","EP11","","SECTION 11 — Live Meeting (Jitsi) + Attendance","# SECTION 11 — Live Meeting (Jitsi) + Attendance

Sinh meetingRoomName deterministic; iframe External API events POST attendance; cron reconciliation booking status.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-11, jitsi, meeting`","High","","section-11;jitsi;meeting","backend","Sprint 6"
"Epic","EP12","","SECTION 12 — Calendar API + iCal Feed","# SECTION 12 — Calendar API + iCal Feed

Build calendar feed endpoint; join redirect; iCal RFC 5545 subscribable.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-12, calendar, ical`","High","","section-12;calendar;ical","backend","Sprint 6"
"Epic","EP13","","SECTION 13 — VNPay Integration","# SECTION 13 — VNPay Integration

VNPay sandbox config; sign request SHA-512; return URL; IPN webhook idempotent grant entitlement.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-13, vnpay, payment`","High","","section-13;vnpay;payment","backend","Sprint 7"
"Epic","EP14","","SECTION 14 — Order State Machine","# SECTION 14 — Order State Machine

Order state machine (pending → paid/failed/expired) + expire cron + idempotency UQ.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-14, order, idempotency`","High","","section-14;order;idempotency","backend","Sprint 7"
"Epic","EP15","","SECTION 15 — Tutor Payouts","# SECTION 15 — Tutor Payouts

Monthly aggregate revenue; commission formula; payout record; mark-paid endpoint.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-15, payouts, commission`","High","","section-15;payouts;commission","backend","Sprint 8"
